编号ID	关卡名称	地图图标	地图说明	地图ID	类型	PK模式	普通每日进入次数	怪物复活	携带任务	携带任务跳转	下线规则	是否可以原地复活	UI显示类型	复活地点	角色等级下限	角色等级上限	消耗货币类型	货币数量	需求道具	需求数量	是否有帮派	需要组队	地图Buff	每次限制时间	地图个数	脚本	人数上限	限制技能	路径0	路径1	路径2	路径3	路径4	路径5	地图标志怪物
2034	深渊教主			203.mpt	5	4	3	0			1	0	1	13,fuhuodian	30	100		0	21003	1	0	0		300	10	baizhuwang	1								224
2035	火龙神			203.mpt	5	4	3	0			1	0	1	13,fuhuodian	30	100		0	21003	1	0	0		300	10	baizhuwang	1								306
108	僵尸洞一层			108.mpt	1	4	0	1			0	0	0	16,fuhuodian	20	100		0		0	0	0		0	1		100								
109	僵尸洞二层			109.mpt	1	4	0	1			0	0	0	16,fuhuodian	20	100		0		0	0	0		0	1		100								
110	尸王殿			110.mpt	1	4	0	1	1000153	301	0	0	0	16,fuhuodian	20	100		0		0	0	0		0	1		100								
111	石墓洞一层			111.mpt	1	4	0	1			0	0	0	16,fuhuodian	30	100		0		0	0	0		0	1		100								
112	石墓洞二层			112.mpt	1	4	0	1			0	0	0	16,fuhuodian	20	100		0		0	0	0		0	1		100								
113	血炼大厅			113.mpt	1	4	0	1			0	0	0	16,fuhuodian	20	100		0		0	0	0		0	1		100								
117	牛魔洞一层			117.mpt	1	4	0	1			0	0	0	12,fuhuodian	20	100		0		0	0	0		0	1		100								
118	牛魔洞二层			118.mpt	1	4	0	1			0	0	0	12,fuhuodian	20	100		0		0	0	0		0	1		100								
119	牛魔洞三层			119.mpt	1	4	0	1			0	0	0	12,fuhuodian	20	100		0		0	0	0		0	1		100								
120	蚂蚁洞一层			120.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
121	蚂蚁洞二层			121.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
122	蚂蚁洞三层			122.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
123	百毒洞一层			123.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
124	百毒洞二层			124.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
125	百毒洞三层			125.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
126	兽人巢穴一层			126.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
127	兽人巢穴二层			127.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
128	兽人巢穴三层			128.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
204	神灯居			204.mpt	1	4	0	1			1	0	0	13,fuhuodian	60	100		0		0	0	0		0	1		100								
205	沙巴克皇宫			205.mpt	8	4	1	0			1	0	2	13,fuhuodian	0	100		0		0	0	0		300	10	huanggongfuben	1								306
301	尸王殿			301.mpt	1	4	1	0			1	0	0	13,fuhuodian	20	30		0		0	0	0		0	100	shiwangdianfuben	1								
302	血炼大厅			302.mpt	1	4	1	0			1	0	1	13,fuhuodian	20	30		0		0	0	0		0	100		1								
206	试练之地一层			206.mpt	1	4	0	1			1	0	3	13,fuhuodian	30	100		0	21016	1	0	0		0	1		100								
207	试练之地二层			207.mpt	1	4	0	1			1	0	3	13,fuhuodian	30	100		0		0	0	0		0	1		100								
208	试炼大厅			208.mpt	1	4	0	1			1	0	3	13,fuhuodian	30	100		0		0	0	0		0	1		100								
100	埋骨之地一层			100.mpt	1	4	0	1			0	0	0	18,fuhuodian	50	100		0		0	0	0		0	1		100								
101	埋骨之地二层			101.mpt	1	4	0	1			0	0	0	18,fuhuodian	50	100		0		0	0	0		0	1		100								
102	埋骨之地三层			102.mpt	1	4	0	1			0	0	0	18,fuhuodian	50	100		0		0	0	0		0	1		100								
209	劫杀圣地			209.mpt	10	4	0	1			1	1	2	13,fuhuodian	60	100		0		0	0	0		0	1		100								
210	劫杀宫殿			210.mpt	10	4	0	1			1	1	2	13,fuhuodian	60	100	bindmoney	100		0	0	0		0	1		100								
211	劫杀宫殿			211.mpt	10	4	0	1			1	1	2	13,fuhuodian	60	100	bindmoney	100		0	0	0		0	1		100								
212	帮会副本			212.mpt	11	2	0	0			1	1	1	13,fuhuodian	60	100		0		0	1	0		0	1	banghuifuben	100		25,25,39,31,52,37						
