显示名	怪物ID	编辑器目录	声音形象	type	名称颜色	头像	存在时间	死亡后复活时间	等级	动画	大小	积分	exp	金钱	金币掉率	技能间隔时间	默认技能	概率型技能	技能概率	第二技能	移动速度	MHP	最小攻击	最大攻击	物防	魔防	回血	命中率	闪避率	暴击率	抵抗暴击	火系抵抗	冰系抵抗	电系抵抗	巡逻半径	视野范围	攻击几率	追击距离	地图	掉落组	掉落几率	任务掉落	任务掉落几率	功能ID	功能参数	功能数据	默认对话																																																																																																																																																																																																																				
稻草人	200	新手村怪物	200	3	0	1166	0	2000	7	200	1	0	15	30	0.3	1500	pk		0	0	90	130	9	33	0	0	0	2	0	0	0	0	0	0	150	200	0	300	1	lev15	0.15		0																																																																																																																																																																																																																								
仙草	248		248	8	0	1200	0	2000	15	248	1	0	0	30	0.3	1500	pk		0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1		0		0																																																																																																																																																																																																																								
恶灵	53	加古城怪物	53	3	0	1052	0	2000	75	53	1	0	50	50	0.3	1500	pk		0	0	100	220	10	50	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	16	lev3,lev15	0.15,0.1		0																																																																																																																																																																																																																								
加古城新兵	130	加古城怪物	130	3	0	1107	0	2000	11	130	1	0	50	50	0.3	1500	pk		0	0	100	200	10	49	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	16	lev3,lev15	0.15,0.1		0																																																																																																																																																																																																																								
莲儿	195	加古城怪物	195	3	0	1161	0	2000	52	195	1	0	50	48	0.3	1500	pk		0	0	100	200	10	50	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	16	lev3,lev15	0.15,0.1		0																																																																																																																																																																																																																								
恶灵尸将	293	加古城怪物	293	4	0	1216	0	10000	12	293	1	0	1000	1000	1	1500	pk		0	0	100	1500	40	85	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	16	lev4,lev15,lev5	0.15,0.1,0.1		0																																																																																																																																																																																																																								
矿洞蝙蝠	368	僵尸洞一层怪物	368	3	0	1051	0	2000	22	368	1	0	130	80	0.3	1500	pk		0	0	100	300	20	60	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	108	lev19,lev15	0.1,0.15		0																																																																																																																																																																																																																								
蛆虫	205	僵尸洞一层怪物	205	3	0	1171	0	2000	24	205	1	0	130	80	0.3	1500	pk		0	0	100	320	15	55	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	108	lev19,lev15	0.1,0.15		0																																																																																																																																																																																																																								
爬行僵尸	54	僵尸洞一层怪物	54	3	0	1053	0	2000	25	54	1	0	130	80	0.3	1500	pk		0	0	70	340	12	50	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	108	lev6,lev19,lev15	0.15,0.1,0.15		0																																																																																																																																																																																																																								
旱魃	55	僵尸洞二层怪物	55	4	0	1054	0	10000	29	55	1	0	5000	5000	1	1500	pk		0	0	90	3000	60	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	108	lev16,lev7,lev20,lev21	0.1,0.1,0.1,1		0																																																																																																																																																																																																																								
嗜血尸王	35	僵尸洞二层怪物	35	4	0	1034	0	10000	33	35	1	0	130	110	0.25	1500	pk		0	0	120	580	40	70	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	109	lev16,lev7,lev20,lev21	0.1,0.1,0.1,1		0																																																																																																																																																																																																																								
邪道僧	369	僵尸洞二层怪物	369	3	0	1047	0	2000	27	369	1	0	140	110	0.25	1500	pk		0	0	70	500	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	109	lev15,lev7,lev19	0.1,0.1,0.1		0																																																																																																																																																																																																																								
怨灵僵尸	208	僵尸洞二层怪物	208	3	0	1174	0	2000	34	208	1	0	130	110	0.25	1500	pk		0	0	80	600	19	77	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	109	lev15,lev7,lev19	0.1,0.1,0.1		0																																																																																																																																																																																																																								
尸王	3621	僵尸洞三层怪物	362	4	0	1275	0	300000	60	362	1	50	500	2000	1	1500	pk		0	0	100	5000	80	165	0	0	0	3	0	0	0	0	0	0	150	200	0.2	300	110	lev8,lev20,lev18,lev7,lev23	0.1,0.1,0.1,0.1,0.5		0																																																																																																																																																																																																																								
游荡的盗匪	370	沙盟北部怪物	370	3	0	1047	0	2000	26	370	1	0	200	180	0.25	1500	pk		0	0	70	500	20	80	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	17	lev9,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
黑巾海盗	124	沙盟北部怪物	124	3	0	1101	0	2000	30	124	1	0	280	180	0.25	1500	pk		0	0	150	650	30	65	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	17	lev9,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
青纱盗	113	沙盟北部怪物	113	3	0	1090	0	2000	35	113	1	0	240	180	0.25	1500	pk		0	0	150	650	30	70	0	0	0	3	0	0	0	0	0	0	150	200	0.2	300	17	lev9,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
邪魔幽卫	388	沙盟北部怪物	388	3	0	1047	0	2000	28	388	1	0	300	180	0.25	1500	pk		0	0	70	650	40	85	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	17	lev9,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
猛虎斗士	29	沙盟北部怪物	29	3	0	1028	0	2000	25	29	1	0	260	180	0.25	1500	pk		0	0	150	680	45	90	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	17	lev9,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
娜迦	49	沙盟北部怪物	49	4	0	1048	0	300000	100	49	1	50	3000	2000	1	1500	pk		0	0	150	8000	100	200	0	0	0	3	0	0	0	0	0	0	150	200	0.2	300	17	lev10,lev18,lev20,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
蝎蛇	43	石墓一层怪物	43	3	0	1042	0	2000	39	43	1	0	120	220	0.25	1500	pk		0	0	150	670	35	75	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
火焰猪王	1641	石墓一层怪物	164	4	0	1141	0	300000	49	164	1	50	1000	1000	1	1500	pk		0	0	150	9000	260	480	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
尸蛾	206	石墓一层怪物	206	3	0	1172	0	2000	41	206	1	0	210	220	0.25	1500	pk		0	0	150	660	40	80	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
红野猪	335	石墓一层怪物	335	3	0	1248	0	2000	60	335	1	0	320	220	0.25	1500	pk		0	0	150	1000	200	250	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
黑色恶蛆	363	石墓一层怪物	363	3	0	1088	0	2000	40	363	1	0	300	220	0.25	1500	pk		0	0	150	670	45	90	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
红野猪精英	364	石墓一层怪物	364	3	0	1248	0	2000	60	364	1	0	252	220	0.25	1500	pk		0	0	150	6000	280	500	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
黑野猪精英	365	石墓二层怪物	365	3	0	1248	0	2000	60	365	1	0	252	260	0.25	1500	pk		0	0	150	6000	280	500	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	112	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
黑野猪	341	石墓二层怪物	341	3	0	1254	0	2000	60	341	1	0	252	260	0.25	1500	pk		0	0	150	1000	150	600	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	112	lev11,lev17,lev19	0.12,0.1,0.1		0																																																																																																																																																																																																																								
巨型白猪王	290	石墓二层怪物	290	4	0	1213	0	300000	49	290	1	50	1000	1000	1	1500	pk		0	0	150	10000	340	580	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	112	lev11,lev17,lev19,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
猪卫统领	360	石墓二层怪物	360	4	0	1273	0	300000	60	360	1	50	1000	1000	1	1500	pk		0	0	150	12000	300	600	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	112	lev11,lev17,lev19,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
血炼魔猪	356	石墓三层怪物	356	4	0	1269	0	600000	60	356	1	50	2000	2000	1	1500	pk	xfz	0.3	0	150	15000	350	630	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	113	lev14,lev18,lev20,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
跳跳虫	105	百毒洞一层怪物	105	3	0	1082	0	2000	30	105	1	0	5000	83	1	1500	pk		0	0	90	680	50	90	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	123		0		0																																																																																																																																																																																																																								
多角沙虫	108	百毒洞一层怪物	108	3	0	1085	0	2000	52	108	1	0	252	86	1	1500	pk		0	0	150	690	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	123		0		0																																																																																																																																																																																																																								
万毒蚣	109	百毒洞一层怪物	109	3	0	1086	0	2000	50	109	1	0	228	87	1	650	pk		0	0	150	700	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	123		0		0																																																																																																																																																																																																																								
巨型蠕虫	337	百毒洞二层怪物	337	4	0	1250	0	600000	60	337	1	0	252	237	1	1500	pk		0	0	0	750	50	100	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	124		0		0																																																																																																																																																																																																																								
钳虫	187	百毒洞二层怪物	187	3	0	1153	0	2000	52	187	1	0	440	440	1	1500	pk		0	0	150	800	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	124		0		0																																																																																																																																																																																																																								
邪恶钳虫	351	百毒洞二层怪物	351	4	0	1264	0	2000	60	351	1	0	252	237	1	1500	pk		0	0	150	850	120	200	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	124		0		0																																																																																																																																																																																																																								
邪恶裂甲虫	122	百毒洞二层怪物	122	4	4	1099	0	600000	52	122	1	50	252	100	1	1500	pk		0	0	150	14000	350	600	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	123		0		0																																																																																																																																																																																																																								
触龙神	366	百毒洞三层怪物	366	4	0	1227	0	1800000	40	366	1	50	252	228	1	1500	pk	cls	0.3	0	0	30000	400	700	0	0	0	2	0	0	0	0	0	0	0	200	0.2	300	203		0		0																																																																																																																																																																																																																								
工蚁	332	蚂蚁洞一层怪物	332	3	0	1245	0	2000	60	332	1	0	620	620	1	1500	pk		0	0	150	1000	90	130	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	120		0		0																																																																																																																																																																																																																								
魔蚁	342	蚂蚁洞一层怪物	342	4	0	1255	0	2000	60	342	1	0	252	237	1	1500	pk		0	0	150	1000	130	150	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	120		0		0																																																																																																																																																																																																																								
蚂蚁将军	339	蚂蚁洞二层怪物	339	4	0	1252	0	2000	60	339	1	0	252	237	1	1500	pk		0	0	150	1500	100	190	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	121		0		0																																																																																																																																																																																																																								
蚂蚁法师	212	蚂蚁洞二层怪物	212	3	0	1177	0	2000	52	212	1	0	630	630	1	1500	pk		0	0	150	1200	100	190	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	120		0		0																																																																																																																																																																																																																								
蚂蚁战士	15	蚂蚁洞二层怪物	15	3	0	1014	0	2000	85	15	1	0	640	640	1	1500	pk		0	0	150	1800	80	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	121		0		0																																																																																																																																																																																																																								
蚁后	213	蚂蚁洞三层怪物	213	4	0	1178	0	1800000	52	213	1	50	252	179	1	1500	pk		0	0	150	18000	380	650	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	122		0		0																																																																																																																																																																																																																								
双翼蝠魔	131	月藏岛怪物	131	3	0	1108	0	2000	52	131	1	0	252	109	1	1500	pk		0	0	150	1200	95	180	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	12		0		0																																																																																																																																																																																																																								
护林勇士	118	月藏岛怪物	118	3	0	1095	0	2000	85	118	1	0	1000	96	1	1500	pk		0	0	150	1500	95	190	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	12		0		0																																																																																																																																																																																																																								
海岛麋鹿	120	月藏岛怪物	120	3	0	1097	0	2000	15	120	1	0	108	98	1	1500	pk		0	0	150	2000	100	190	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	12		0		0																																																																																																																																																																																																																								
森林蜥蜴	133	月藏岛怪物	133	3	0	1110	0	2000	32	133	1	0	62	111	1	1500	pk		0	0	110	2500	120	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	12		0		0																																																																																																																																																																																																																								
飓风岛主	338	月藏岛怪物	338	4	0	1251	0	5400000	60	338	1	50	252	237	1	1500	pk		0	0	150	28000	380	720	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	12		0		0																																																																																																																																																																																																																								
牛魔刽子手	142	牛魔洞一层怪物	142	3	0	1119	0	2000	52	142	1	0	540	540	1	1500	pk		0	0	150	1500	120	200	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	117		0		0																																																																																																																																																																																																																								
重甲裂蹄牛	143	牛魔洞一层怪物	143	3	0	1120	0	2000	52	143	1	0	252	121	1	1500	pk		0	0	150	1800	120	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	117		0		0																																																																																																																																																																																																																								
牛魔法老	145	牛魔洞一层怪物	145	3	0	1122	0	2000	52	145	1	0	252	123	1	1500	pk		0	0	150	1600	120	250	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	117		0		0																																																																																																																																																																																																																								
牛魔刺客	146	牛魔洞一层怪物	146	3	0	1123	0	2000	52	146	1	0	252	124	1	1500	pk		0	0	150	1800	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	117		0		0																																																																																																																																																																																																																								
三角铁刃牛	144	牛魔洞二层怪物	144	3	0	1121	0	2000	52	144	1	0	570	570	1	1500	pk		0	0	150	2000	180	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	118		0		0																																																																																																																																																																																																																								
盾甲裂蹄牛	147	牛魔洞二层怪物	147	3	0	1124	0	2000	52	147	1	0	550	550	1	1500	pk		0	0	150	2200	180	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	118		0		0																																																																																																																																																																																																																								
蛮锤裂蹄牛	148	牛魔洞二层怪物	148	3	0	1125	0	2000	52	148	1	0	252	126	1	1500	pk		0	0	150	2200	180	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	118		0		0																																																																																																																																																																																																																								
牛魔祭祀	149	牛魔洞二层怪物	149	3	0	1126	0	2000	52	149	1	0	252	127	1	1500	pk		0	0	150	2000	250	300	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	118		0		0																																																																																																																																																																																																																								
金甲牛魔王	1501	牛魔洞三层怪物	150	4	0	1127	0	3000000	32	150	1	50	252	128	1	1500	pk		0	0	150	30000	400	750	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	119		0		0																																																																																																																																																																																																																								
铁臂巨人	183	埋骨之地一层怪物	183	3	0	1150	0	2000	52	183	1	0	252	151	1	1500	pk		0	0	150	2200	125	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	100		0		0																																																																																																																																																																																																																								
魔域暴龙	154	埋骨之地一层怪物	154	3	0	1131	0	2000	52	154	1	0	660	660	1	1500	pk		0	0	150	2500	130	230	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	100		0		0																																																																																																																																																																																																																								
魔域守卫	156	埋骨之地一层怪物	156	3	0	1133	0	2000	52	156	1	0	252	134	1	1500	pk		0	0	150	2300	130	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	100		0		0																																																																																																																																																																																																																								
魔域死士	1571	埋骨之地二层怪物	157	3	0	1134	0	2000	52	157	1	0	670	670	1	1500	pk		0	0	150	2800	130	240	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	101		0		0																																																																																																																																																																																																																								
异变血魔	158	埋骨之地二层怪物	158	3	0	1135	0	2000	52	158	1	0	680	680	1	1500	pk		0	0	150	3000	130	240	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	101		0		0																																																																																																																																																																																																																								
魔王	155	埋骨之地二层怪物	155	4	0	1132	0	3600000	36	155	1	50	72	133	1	1500	pk		0	0	100	35000	22	81	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	101		0		0																																																																																																																																																																																																																								
鬼面尸将	367	僵尸洞三层副本	367	3	0	1088	0	2000	40	367	1	0	800	800	1	1500	pk		0	0	150	1800	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	110		0		0																																																																																																																																																																																																																								
赤面血尸	137	僵尸洞三层副本	137	3	0	1114	0	2000	52	137	1	0	800	800	1	1500	pk		0	0	80	2000	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	110		0		0																																																																																																																																																																																																																								
青面血尸	138	僵尸洞三层副本	138	3	0	1115	0	2000	30	138	1	0	800	800	1	1500	pk		0	0	80	2000	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	110		0		0																																																																																																																																																																																																																								
尸王	362	僵尸洞三层副本	362	4	0	1275	0	2000	60	362	1	0	5000	5000	1	1500	pk		0	0	150	2500	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	110		0		0																																																																																																																																																																																																																								
血炼魔猪	3561	石墓三层副本	356	4	0	1269	0	2000	60	356	1	0	252	237	1	1500	pk	xfz	0.3	0	150	3000	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	113		0		0																																																																																																																																																																																																																								
杰克船长	292	海盗船副本	292	4	0	1215	0	2000	40	292	1	0	1500	1000	1	1500	czsj		0	0	150	3000	230	350	0	0	0	3	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
鼠儒	23	金币副本	23	3	0	1022	0	2000	30	23	1	0	50	23	1	1500	pk		0	0	90	1000	20	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	202		0		0																																																																																																																																																																																																																								
重装骷髅	27	金币副本	27	3	0	1026	0	2000	30	27	1	0	50	27	1	1500	pk		0	0	90	1000	20	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	202		0		0																																																																																																																																																																																																																								
财神树	307	金币副本	307	3	0	1228	0	2000	30	307	1	0	100	229	1	1500	pk		0	0	0	3000	50	100	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	202		0		0																																																																																																																																																																																																																								
利刃邪骷	1150	经验副本(40-63)	115	3	0	1092	0	2000	35	115	1	0	800	800	1	1500	pk		0	0	100	800	50	170	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1060	经验副本(40-63)	106	3	0	1083	0	2000	35	106	1	0	1760	1760	1	1500	pk		0	0	80	1200	60	180	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1181	经验副本(40-63)	118	3	0	1095	0	2000	85	118	1	0	1960	1960	1	1500	pk		0	0	150	1800	80	200	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1551	经验副本(40-63)	155	3	0	1132	0	2000	36	155	1	0	6400	6400	1	1500	pk		0	0	100	2300	120	230	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1151	经验副本(64-71)	115	3	0	1092	0	2000	35	115	1	0	1000	1000	1	1500	pk		0	0	100	1200	70	188	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1061	经验副本(64-71)	106	3	0	1083	0	2000	35	106	1	0	2200	2200	1	1500	pk		0	0	80	1600	80	198	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1182	经验副本(64-71)	118	3	0	1095	0	2000	85	118	1	0	2450	2450	1	1500	pk		0	0	150	2200	100	218	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1552	经验副本(64-71)	155	3	0	1132	0	2000	36	155	1	0	8000	8000	1	1500	pk		0	0	100	2700	140	248	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1152	经验副本(72-74)	115	3	0	1092	0	2000	35	115	1	0	1200	1200	1	1500	pk		0	0	100	1600	90	206	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1062	经验副本(72-74)	106	3	0	1083	0	2000	35	106	1	0	2640	2640	1	1500	pk		0	0	80	2000	100	216	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1183	经验副本(72-74)	118	3	0	1095	0	2000	85	118	1	0	2940	2940	1	1500	pk		0	0	150	2600	120	236	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1553	经验副本(72-74)	155	3	0	1132	0	2000	36	155	1	0	9600	9600	1	1500	pk		0	0	100	3100	160	266	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1153	经验副本(75-77)	115	3	0	1092	0	2000	35	115	1	0	1500	1500	1	1500	pk		0	0	100	2000	110	224	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1063	经验副本(75-77)	106	3	0	1083	0	2000	35	106	1	0	3300	3300	1	1500	pk		0	0	80	2400	120	234	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1184	经验副本(75-77)	118	3	0	1095	0	2000	85	118	1	0	3675	3675	1	1500	pk		0	0	150	3000	140	254	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1554	经验副本(75-77)	155	3	0	1132	0	2000	36	155	1	0	12000	12000	1	1500	pk		0	0	100	3500	180	284	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1154	经验副本(78-84)	115	3	0	1092	0	2000	35	115	1	0	2000	2000	1	1500	pk		0	0	100	2400	130	242	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1064	经验副本(78-84)	106	3	0	1083	0	2000	35	106	1	0	4400	4400	1	1500	pk		0	0	80	2800	140	252	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1185	经验副本(78-84)	118	3	0	1095	0	2000	85	118	1	0	4900	4900	1	1500	pk		0	0	150	3400	160	272	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1555	经验副本(78-84)	155	3	0	1132	0	2000	36	155	1	0	16000	16000	1	1500	pk		0	0	100	3900	200	302	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1155	经验副本(85-88)	115	3	0	1092	0	2000	35	115	1	0	3000	3000	1	1500	pk		0	0	100	2800	150	260	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1065	经验副本(85-88)	106	3	0	1083	0	2000	35	106	1	0	6600	6600	1	1500	pk		0	0	80	3200	160	270	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1186	经验副本(85-88)	118	3	0	1095	0	2000	85	118	1	0	7350	7350	1	1500	pk		0	0	150	3800	180	290	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
