角色职业等级	升级经验	HP上限	MP上限	物攻最小	物攻最大	魔攻最小	魔攻最大	道攻最小	道攻最大	物防最小	物防最大	魔防最小	魔防最大	准确	闪避	暴击	韧性	幸运									
10043	75000	2142	408	52	190	3	12	3	12	10	128	4	26	1	0	1	1	0									
10044	80000	2202	417	53	194	3	13	3	13	10	131	5	26	1	0	1	1	0									
10045	85000	2262	426	54	198	3	13	3	13	11	134	5	27	1	0	1	1	0									
10046	90000	2322	435	55	202	3	13	3	13	11	137	5	27	1	0	1	1	0									
10047	95000	2382	444	56	206	3	13	3	13	11	140	5	28	1	0	1	1	0									
10048	100000	2442	453	57	210	3	14	3	14	11	143	5	28	1	0	1	1	0									
10049	105000	2502	462	58	214	3	14	3	14	12	146	5	29	1	0	1	1	0									
10050	110000	2562	472	59	218	3	14	3	14	12	149	5	30	1	0	1	1	0									
10051	115000	2622	482	60	222	4	15	4	15	13	152	5	31	1	0	1	1	0									
10052	130000	2682	492	61	226	4	15	4	15	13	155	5	32	1	0	1	1	0									
10053	140000	2742	502	62	230	4	15	4	15	13	158	5	33	1	0	1	1	0									
10054	150000	2802	512	63	234	4	15	4	15	14	161	6	34	1	0	1	1	0									
10055	160000	2862	522	64	238	4	16	4	16	14	164	6	35	1	0	1	1	0									
10056	170000	2922	532	65	242	4	16	4	16	15	167	6	36	1	0	1	1	0									
10057	180000	2982	542	66	246	4	16	4	16	15	170	6	37	1	0	1	1	0									
10058	200000	3042	552	67	250	4	16	4	16	15	173	6	38	1	0	1	1	0									
10059	230000	3102	562	68	254	4	17	4	17	16	176	6	39	1	0	1	1	0									
10060	260000	3202	572	69	259	4	17	4	17	16	180	6	40	1	0	1	1	0									
10061	290000	3302	582	70	264	4	17	4	17	17	184	6	41	1	0	1	1	0									
10062	320000	3402	592	71	269	4	17	4	17	17	188	6	42	1	0	1	1	0									
10063	360000	3502	602	72	274	4	18	4	18	18	192	6	43	1	0	1	1	0									
10064	400000	3602	612	73	279	4	18	4	18	18	196	7	44	1	0	1	1	0									
10065	440000	3702	622	74	284	4	18	4	18	19	200	7	45	1	0	1	1	0									
10066	480000	3802	632	75	289	5	18	5	18	19	204	7	46	1	0	1	1	0									
10067	600000	3902	642	76	294	5	19	5	19	20	208	7	47	1	0	1	1	0									
10068	800000	4002	652	77	299	5	19	5	19	20	212	7	48	1	0	1	1	0									
10069	1200000	4102	662	78	304	5	19	5	19	21	216	7	49	1	0	1	1	0									
10070	1680000	4202	672	79	309	5	19	5	19	21	220	7	50	1	0	1	1	0									
10071	1880000	4302	682	80	314	5	20	5	20	22	224	7	51	1	0	1	1	0									
10072	2400000	4402	692	81	319	5	20	5	20	22	228	8	52	1	0	1	1	0									
10073	2960000	4502	702	82	324	5	20	5	20	23	232	8	53	1	0	1	1	0									
10074	3560000	4602	712	83	329	5	20	5	20	23	236	8	54	1	0	1	1	0									
10075	4160000	4702	722	84	334	5	21	5	21	24	240	8	55	1	0	1	1	0									
10076	4800000	4802	732	85	339	5	21	5	21	24	244	8	56	1	0	1	1	0									
10077	5600000	4902	742	86	344	5	21	5	21	25	248	9	57	1	0	1	1	0									
10078	6400000	5002	752	87	349	5	22	5	22	25	252	9	58	1	0	1	1	0									
10079	7200000	5102	762	88	354	5	22	5	22	26	256	9	59	1	0	1	1	0									
10080	8000000	5222	772	89	359	6	22	6	22	26	260	9	60	1	0	1	1	0									
10081	9000000	5342	782	90	364	6	22	6	22	27	264	9	61	1	0	1	1	0									
10082	10000000	5462	792	91	369	6	23	6	23	28	268	10	62	1	0	1	1	0									
10083	17000000	5582	802	92	374	6	23	6	23	28	272	10	63	1	0	1	1	0									
10084	17040000	5702	812	93	379	6	23	6	23	29	276	10	64	1	0	1	1	0									
10085	17100000	5822	822	94	384	6	23	6	23	29	280	10	65	1	0	1	1	0									
10086	18000000	5942	832	95	389	6	24	6	24	30	284	10	66	1	0	1	1	0									
10087	22600000	6062	842	96	394	6	24	6	24	31	288	11	67	1	0	1	1	0									
10088	24000000	6182	852	97	399	6	24	6	24	31	292	11	68	1	0	1	1	0									
10089	36800000	6302	862	98	404	6	24	6	24	32	296	11	69	1	0	1	1	0									
10090	76000000	6422	872	99	410	6	25	6	25	32	301	11	70	1	0	1	1	0									
10091	86000000	6542	882	100	416	6	25	6	25	33	306	11	71	1	0	1	1	0									
10092	90000000	6662	892	101	422	6	25	6	25	34	311	12	72	1	0	1	1	0									
10093	96000000	6782	902	102	428	6	25	6	25	35	316	12	73	1	0	1	1	0									
10094	114000000	6902	912	103	434	7	26	7	26	35	321	12	74	1	0	1	1	0									
10095	170000000	7022	922	104	440	7	26	7	26	36	326	12	75	1	0	1	1	0									
10096	208000000	7142	932	105	446	7	26	7	26	37	331	12	76	1	0	1	1	0									
10097	240000000	7262	942	106	452	7	26	7	26	37	336	13	77	1	0	1	1	0									
10098	260000000	7382	952	107	458	7	27	7	27	38	341	13	78	1	0	1	1	0									
10099	320000000	7502	962	108	464	7	27	7	27	39	346	13	79	1	0	1	1	0									
10100	1860000000	7642	972	109	470	7	27	7	27	39	351	13	80	1	0	1	1	0									
11001	80	275	90	0	2	10	40	0	2	0	6	2	18	1	0	1	1	0									
11002	100	290	105	0	2	11	43	0	2	0	6	2	21	1	0	1	1	0									
11003	150	305	120	0	2	12	46	0	2	0	7	3	24	1	0	1	1	0									
11004	240	320	135	0	2	13	49	0	2	1	8	3	27	1	0	1	1	0									
11005	400	335	150	0	3	14	52	0	3	1	9	4	30	1	0	1	1	0									
11006	550	350	165	0	3	15	55	0	3	1	10	4	33	1	0	1	1	0									
11007	800	365	180	0	3	16	58	0	3	1	10	5	36	1	0	1	1	0									
11008	950	380	195	0	3	17	61	0	3	1	11	5	39	1	0	1	1	0									
11009	1200	395	210	1	4	18	64	1	4	1	12	6	42	1	0	1	1	0									
11010	2300	410	225	1	4	19	67	1	4	1	13	6	45	1	0	1	1	0									
11011	2400	425	240	1	4	20	70	1	4	1	14	7	48	1	0	1	1	0									
11012	2800	440	255	1	4	21	73	1	4	1	14	7	51	1	0	1	1	0									
11013	2900	455	270	1	5	22	76	1	5	1	15	8	54	1	0	1	1	0									
11014	3000	470	285	1	5	23	79	1	5	2	16	8	57	1	0	1	1	0									
11015	3100	485	300	1	5	24	82	1	5	2	17	9	60	1	0	1	1	0									
11016	3200	500	315	1	5	25	85	1	5	2	18	9	63	1	0	1	1	0									
11017	3300	515	330	1	6	26	88	1	6	2	18	10	66	1	0	1	1	0									
11018	3500	530	345	1	6	27	91	1	6	2	19	10	69	1	0	1	1	0									
11019	4000	545	360	1	6	28	94	1	6	2	20	11	72	1	0	1	1	0									
11020	7600	570	375	1	6	29	98	1	6	2	21	11	75	1	0	1	1	0									
11021	8000	595	390	1	7	30	102	1	7	2	22	12	78	1	0	1	1	0									
11022	8400	620	405	1	7	31	106	1	7	2	22	12	81	1	0	1	1	0									
11023	8800	645	420	1	7	32	110	1	7	2	23	13	84	1	0	1	1	0									
11024	9000	670	435	1	7	33	114	1	7	3	24	13	87	1	0	1	1	0									
11025	10000	695	450	2	8	34	118	2	8	3	25	14	90	1	0	1	1	0									
11026	11000	720	465	2	8	35	122	2	8	3	26	14	93	1	0	1	1	0									
11027	12000	745	480	2	8	36	126	2	8	3	26	15	96	1	0	1	1	0									
11028	14000	770	495	2	9	37	130	2	9	3	27	15	99	1	0	1	1	0									
11029	16000	795	510	2	9	38	134	2	9	3	28	16	102	1	0	1	1	0									
11030	18000	820	525	2	9	39	138	2	9	3	29	16	105	1	0	1	1	0									
11031	22000	845	540	2	9	40	142	2	9	3	30	17	108	1	0	1	1	0									
11032	26000	870	555	2	10	41	146	2	10	3	31	17	111	1	0	1	1	0									
11033	30000	895	570	2	10	42	150	2	10	3	32	18	114	1	0	1	1	0									
11034	35000	920	585	2	10	43	154	2	10	4	33	18	117	1	0	1	1	0									
11035	40000	945	600	2	10	44	158	2	10	4	34	19	120	1	0	1	1	0									
11036	45000	970	615	2	11	45	162	2	11	4	35	19	123	1	0	1	1	0									
11037	49000	995	630	2	11	46	166	2	11	4	36	20	126	1	0	1	1	0									
11038	53000	1020	645	2	11	47	170	2	11	4	37	20	129	1	0	1	1	0									
11039	57000	1045	660	2	11	48	174	2	11	4	38	21	132	1	0	1	1	0									
11040	60000	1080	680	3	12	49	178	3	12	4	39	21	135	1	0	1	1	0									
11041	65000	1115	700	3	12	50	182	3	12	4	40	22	139	1	0	1	1	0									
11042	70000	1150	720	3	12	51	186	3	12	4	41	22	142	1	0	1	1	0									
11043	75000	1185	740	3	12	52	190	3	12	4	42	23	146	1	0	1	1	0									
11044	80000	1220	760	3	13	53	194	3	13	5	43	23	149	1	0	1	1	0									
11045	85000	1255	780	3	13	54	198	3	13	5	44	24	153	1	0	1	1	0									
11046	90000	1290	800	3	13	55	202	3	13	5	45	24	156	1	0	1	1	0									
11047	95000	1325	820	3	13	56	206	3	13	5	46	25	160	1	0	1	1	0									
11048	100000	1360	840	3	14	57	210	3	14	5	47	25	163	1	0	1	1	0									
11049	105000	1395	860	3	14	58	214	3	14	5	48	26	167	1	0	1	1	0									
11050	110000	1430	880	3	14	59	218	3	14	5	49	26	170	1	0	1	1	0									
11051	115000	1465	900	3	15	60	222	3	15	5	50	27	174	1	0	1	1	0									
11052	130000	1500	920	3	15	61	226	3	15	5	51	27	177	1	0	1	1	0									
11053	140000	1535	940	3	15	62	230	3	15	5	52	27	181	1	0	1	1	0									
11054	150000	1570	960	3	15	63	234	3	15	6	53	28	184	1	0	1	1	0									
11055	160000	1605	980	4	16	64	238	4	16	6	54	28	188	1	0	1	1	0									
11056	170000	1640	1000	4	16	65	242	4	16	6	55	29	191	1	0	1	1	0									
11057	180000	1675	1020	4	16	66	246	4	16	6	56	29	195	1	0	1	1	0									
11058	200000	1710	1040	4	16	67	250	4	16	6	57	30	198	1	0	1	1	0									
11059	230000	1745	1060	4	17	68	254	4	17	6	58	30	202	1	0	1	1	0									
11060	260000	1795	1085	4	17	69	259	4	17	6	59	31	205	1	0	1	1	0									
11061	290000	1845	1110	4	17	70	264	4	17	6	60	31	209	1	0	1	1	0									
11062	320000	1895	1135	4	17	71	269	4	17	7	62	32	212	1	0	1	1	0									
11063	360000	1945	1160	4	18	72	274	4	18	7	63	32	216	1	0	1	1	0									
11064	400000	1995	1185	4	18	73	279	4	18	7	64	33	219	1	0	1	1	0									
11065	440000	2045	1210	4	18	74	284	4	18	7	65	33	223	1	0	1	1	0									
11066	480000	2095	1235	4	18	75	289	4	18	7	66	34	226	1	0	1	1	0									
11067	600000	2145	1260	4	19	76	294	4	19	7	68	34	230	1	0	1	1	0									
11068	800000	2195	1285	4	19	77	299	4	19	8	69	35	233	1	0	1	1	0									
11069	1200000	2245	1310	4	19	78	304	4	19	8	70	35	237	1	0	1	1	0									
11070	1680000	2295	1335	4	19	79	309	4	19	8	71	36	240	1	0	1	1	0									
11071	1880000	2345	1360	5	20	80	314	5	20	8	72	36	244	1	0	1	1	0									
11072	2400000	2395	1385	5	20	81	319	5	20	8	74	37	247	1	0	1	1	0									
11073	2960000	2445	1410	5	20	82	324	5	20	8	75	37	251	1	0	1	1	0									
11074	3560000	2495	1435	5	20	83	329	5	20	9	76	38	254	1	0	1	1	0									
11075	4160000	2545	1460	5	21	84	334	5	21	9	77	38	258	1	0	1	1	0									
11076	4800000	2595	1485	5	21	85	339	5	21	9	78	39	261	1	0	1	1	0									
11077	5600000	2645	1510	5	21	86	344	5	21	9	80	39	265	1	0	1	1	0									
11078	6400000	2695	1535	5	22	87	349	5	22	9	81	40	268	1	0	1	1	0									
11079	7200000	2745	1560	5	22	88	354	5	22	9	82	40	272	1	0	1	1	0									
11080	8000000	2815	1590	5	22	89	359	5	22	10	83	41	275	1	0	1	1	0									
11081	9000000	2885	1620	5	22	90	364	5	22	10	84	41	279	1	0	1	1	0									
11082	10000000	2955	1650	5	23	91	369	5	23	10	86	42	282	1	0	1	1	0									
11083	17000000	3025	1680	5	23	92	374	5	23	10	87	42	286	1	0	1	1	0									
11084	17040000	3095	1710	5	23	93	379	5	23	10	88	43	289	1	0	1	1	0									
11085	17100000	3165	1740	5	23	94	384	5	23	10	89	43	293	1	0	1	1	0									
11086	18000000	3235	1770	6	24	95	389	6	24	11	90	44	296	1	0	1	1	0									
11087	22600000	3305	1800	6	24	96	394	6	24	11	92	44	300	1	0	1	1	0									
11088	24000000	3375	1830	6	24	97	399	6	24	11	93	45	303	1	0	1	1	0									
11089	36800000	3445	1860	6	24	98	404	6	24	11	94	45	307	1	0	1	1	0									
11090	76000000	3515	1890	6	25	99	410	6	25	11	95	46	310	1	0	1	1	0									
11091	86000000	3585	1920	6	25	100	416	6	25	12	97	46	314	1	0	1	1	0									
11092	90000000	3655	1950	6	25	101	422	6	25	12	98	47	317	1	0	1	1	0									
11093	96000000	3725	1980	6	25	102	428	6	25	12	100	47	321	1	0	1	1	0									
11094	114000000	3795	2010	6	26	103	434	6	26	12	101	48	324	1	0	1	1	0									
11095	170000000	3865	2040	6	26	104	440	6	26	12	102	48	328	1	0	1	1	0									
11096	208000000	3935	2070	6	26	105	446	6	26	12	104	49	331	1	0	1	1	0									
11097	240000000	4005	2100	6	26	106	452	6	26	13	105	49	335	1	0	1	1	0									
11098	260000000	4075	2130	6	27	107	458	6	27	13	107	50	338	1	0	1	1	0									
11099	320000000	4145	2160	6	27	108	464	6	27	13	108	50	342	1	0	1	1	0									
11100	1860000000	4235	2195	6	27	109	470	6	27	13	109	51	345	1	0	1	1	0									
12001	80	325	60	2	8	2	8	10	40	1	10	1	9	1	0	1	1	0									
12002	100	345	70	2	9	2	9	11	43	1	11	1	10	1	0	1	1	0									
12003	150	365	80	2	10	2	10	12	46	1	12	1	11	1	0	1	1	0									
12004	240	385	90	2	11	2	11	13	49	1	13	1	12	1	0	1	1	0									
12005	400	405	100	3	12	3	12	14	52	1	14	1	14	1	0	1	1	0									
12006	550	425	110	3	13	3	13	15	55	1	15	2	15	1	0	1	1	0									
12007	800	445	120	3	14	3	14	16	58	1	16	2	16	1	0	1	1	0									
12008	950	465	130	3	15	3	15	17	61	1	17	2	17	1	0	1	1	0									
12009	1200	485	140	4	16	4	16	18	64	2	18	2	19	1	0	1	1	0									
12010	2300	505	150	4	17	4	17	19	67	2	19	2	20	1	0	1	1	0									
12011	2400	525	160	4	18	4	18	20	70	2	20	2	21	1	0	1	1	0									
12012	2800	545	170	4	19	4	19	21	73	2	21	3	22	1	0	1	1	0									
12013	2900	565	180	5	20	5	20	22	76	2	22	3	24	1	0	1	1	0									
12014	3000	585	190	5	21	5	21	23	79	2	23	3	25	1	0	1	1	0									
12015	3100	605	200	5	22	5	22	24	82	2	24	3	26	1	0	1	1	0									
12016	3200	625	210	5	23	5	23	25	85	2	25	3	27	1	0	1	1	0									
12017	3300	645	220	6	24	6	24	26	88	2	26	3	29	1	0	1	1	0									
12018	3500	665	230	6	25	6	25	27	91	2	27	4	30	1	0	1	1	0									
12019	4000	685	240	6	26	6	26	28	94	3	28	4	31	1	0	1	1	0									
12020	7600	720	250	6	27	6	27	29	98	3	29	4	32	1	0	1	1	0									
12021	8000	755	260	7	28	7	28	30	102	3	30	4	34	1	0	1	1	0									
12022	8400	790	270	7	29	7	29	31	106	3	31	4	35	1	0	1	1	0									
12023	8800	825	280	7	30	7	30	32	110	3	32	4	36	1	0	1	1	0									
12024	9000	860	290	7	31	7	31	33	114	3	33	5	37	1	0	1	1	0									
12025	10000	895	300	8	32	8	32	34	118	3	34	5	39	1	0	1	1	0									
12026	11000	930	310	8	33	8	33	35	122	3	35	5	40	1	0	1	1	0									
12027	12000	965	320	8	34	8	34	36	126	3	36	5	41	1	0	1	1	0									
12028	14000	1000	330	9	35	9	35	37	130	3	37	5	42	1	0	1	1	0									
12029	16000	1035	340	9	36	9	36	38	134	4	38	6	44	1	0	1	1	0									
12030	18000	1070	353	9	37	9	37	39	138	4	39	6	45	1	0	1	1	0									
12031	22000	1105	366	9	38	9	38	40	142	4	40	6	46	1	0	1	1	0									
12032	26000	1140	379	10	39	10	39	41	146	4	41	6	47	1	0	1	1	0									
12033	30000	1175	392	10	40	10	40	42	150	4	42	6	49	1	0	1	1	0									
12034	35000	1210	405	10	41	10	41	43	154	4	43	6	50	1	0	1	1	0									
12035	40000	1245	418	10	43	10	42	44	158	4	44	7	51	1	0	1	1	0									
12036	45000	1280	431	11	44	11	43	45	162	4	45	7	52	1	0	1	1	0									
12037	49000	1315	444	11	45	11	44	46	166	4	46	7	54	1	0	1	1	0									
12038	53000	1350	457	11	46	11	45	47	170	4	47	7	55	1	0	1	1	0									
12039	57000	1385	470	11	47	11	46	48	174	5	48	7	56	1	0	1	1	0									
12040	60000	1435	483	12	48	12	47	49	178	5	49	7	57	1	0	1	1	0									
12041	65000	1485	496	12	49	12	48	50	182	5	50	8	59	1	0	1	1	0									
12042	70000	1535	509	12	50	12	49	51	186	5	51	8	60	1	0	1	1	0									
12043	75000	1585	522	12	51	12	50	52	190	5	52	8	61	1	0	1	1	0									
12044	80000	1635	535	13	52	13	51	53	194	5	53	8	62	1	0	1	1	0									
12045	85000	1685	548	13	53	13	52	54	198	5	54	8	64	1	0	1	1	0									
12046	90000	1735	561	13	54	13	53	55	202	5	55	8	65	1	0	1	1	0									
12047	95000	1785	574	13	55	13	54	56	206	5	56	9	66	1	0	1	1	0									
12048	100000	1835	587	14	56	14	55	57	210	5	57	9	67	1	0	1	1	0									
12049	105000	1885	600	14	57	14	56	58	214	6	58	9	69	1	0	1	1	0									
12050	110000	1935	617	14	58	14	57	59	218	6	59	9	70	1	0	1	1	0									
12051	115000	1985	634	15	59	15	59	60	222	6	60	9	71	1	0	1	1	0									
12052	130000	2035	651	15	60	15	60	61	226	6	61	10	72	1	0	1	1	0									
12053	140000	2085	668	15	61	15	61	62	230	6	62	10	74	1	0	1	1	0									
12054	150000	2135	685	15	62	15	62	63	234	6	63	10	75	1	0	1	1	0									
12055	160000	2185	702	16	63	16	63	64	238	6	64	11	76	1	0	1	1	0									
12056	170000	2235	719	16	64	16	64	65	242	6	65	11	77	1	0	1	1	0									
12057	180000	2285	736	16	65	16	65	66	246	6	66	11	79	1	0	1	1	0									
12058	200000	2335	753	16	66	16	66	67	250	6	67	11	80	1	0	1	1	0									
12059	230000	2385	770	17	67	17	67	68	254	7	68	12	81	1	0	1	1	0									
12060	260000	2450	787	17	68	17	68	69	259	7	70	12	82	1	0	1	1	0									
12061	290000	2515	804	17	69	17	69	70	264	7	72	12	84	1	0	1	1	0									
12062	320000	2580	821	17	70	17	70	71	269	7	74	13	85	1	0	1	1	0									
12063	360000	2645	838	18	71	18	71	72	274	7	76	13	86	1	0	1	1	0									
12064	400000	2710	855	18	72	18	72	73	279	8	78	13	87	1	0	1	1	0									
12065	440000	2775	872	18	73	18	73	74	284	8	80	13	89	1	0	1	1	0									
12066	480000	2840	889	18	74	18	74	75	289	8	82	14	90	1	0	1	1	0									
12067	600000	2905	906	19	75	19	75	76	294	8	84	14	91	1	0	1	1	0									
12068	800000	2970	923	19	77	19	76	77	299	8	86	14	92	1	0	1	1	0									
12069	1200000	3035	940	19	78	19	77	78	304	9	88	15	94	1	0	1	1	0									
12070	1680000	3100	957	19	79	19	78	79	309	9	90	15	95	1	0	1	1	0									
12071	1880000	3165	974	20	80	20	79	80	314	9	92	15	96	1	0	1	1	0									
12072	2400000	3230	991	20	81	20	80	81	319	9	94	15	97	1	0	1	1	0									
12073	2960000	3295	1008	20	82	20	81	82	324	9	96	16	99	1	0	1	1	0									
12074	3560000	3360	1025	20	83	20	82	83	329	10	98	16	100	1	0	1	1	0									
12075	4160000	3425	1042	21	84	21	83	84	334	10	100	16	101	1	0	1	1	0									
12076	4800000	3490	1059	21	85	21	84	85	339	10	102	16	102	1	0	1	1	0									
12077	5600000	3555	1076	21	86	21	85	86	344	10	104	17	104	1	0	1	1	0									
12078	6400000	3620	1093	22	87	22	86	87	349	10	106	17	105	1	0	1	1	0									
12079	7200000	3685	1110	22	88	22	87	88	354	11	108	17	106	1	0	1	1	0									
12080	8000000	3765	1130	22	89	22	88	89	359	11	110	18	107	1	0	1	1	0									
12081	9000000	3845	1150	22	90	22	89	90	364	11	112	18	109	1	0	1	1	0									
12082	10000000	3925	1170	23	91	23	90	91	369	11	114	18	110	1	0	1	1	0									
12083	17000000	4005	1190	23	92	23	91	92	374	11	116	18	111	1	0	1	1	0									
12084	17040000	4085	1210	23	93	23	92	93	379	12	118	19	112	1	0	1	1	0									
12085	17100000	4165	1230	23	94	23	93	94	384	12	120	19	114	1	0	1	1	0									
12086	18000000	4245	1250	24	95	24	94	95	389	12	122	19	115	1	0	1	1	0									
12087	22600000	4325	1270	24	96	24	95	96	394	12	124	20	116	1	0	1	1	0									
12088	24000000	4405	1290	24	97	24	96	97	399	12	126	20	117	1	0	1	1	0									
12089	36800000	4485	1310	24	98	24	97	98	404	13	128	20	119	1	0	1	1	0									
12090	76000000	4565	1330	25	99	25	98	99	410	13	131	20	121	1	0	1	1	0									
12091	86000000	4645	1350	25	100	25	99	100	416	13	134	21	124	1	0	1	1	0									
12092	90000000	4725	1370	25	101	25	100	101	422	14	137	21	126	1	0	1	1	0									
12093	96000000	4805	1390	25	102	25	101	102	428	14	140	21	129	1	0	1	1	0									
12094	114000000	4885	1410	26	103	26	102	103	434	14	143	22	131	1	0	1	1	0									
12095	170000000	4965	1430	26	104	26	103	104	440	15	146	22	134	1	0	1	1	0									
12096	208000000	5045	1450	26	105	26	104	105	446	15	149	22	136	1	0	1	1	0									
12097	240000000	5125	1470	26	106	26	105	106	452	15	152	22	139	1	0	1	1	0									
12098	260000000	5205	1490	27	107	27	106	107	458	16	155	23	141	1	0	1	1	0									
12099	320000000	5285	1510	27	108	27	107	108	464	16	158	23	144	1	0	1	1	0									
12100	1860000000	5385	1530	27	109	27	108	109	470	16	161	23	146	1	0	1	1	0									
																											
																											
