编号	名称	图标	品质	内观	性别	是否可以批量使用	职业限制	等级限制	物品等级	拾取分类	羽化等级	物品类别	部位	耐久度	出售价格	叠加上限	持有类型	是否可丢弃	是否可销毁	力量需求	悟性需求	身法需求	根骨需求	经脉需求	CD时间	CD类别	掉落模型ID	模型ID	物攻下限	物攻上限	魔攻下限	魔攻上限	道攻下限	道攻上限	物防下限	物防上限	魔防下限	魔防上限	物免	魔免	命中	暴击	闪避	生命值	魔法值	默认值	随机属性组	目标类型	合法对象	使用成功率	附加功能ID	功能参数	功能数据	描述	掉落说明	使用说明	编辑器目录
02019	老兵护甲(女)	items/11005	4	11005	1	0	0	10	10	5	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02020	重型盔甲(男)	items/11006	0	11006	0	0	1	20	20	1	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02021	重型盔甲(男)	items/11006	1	11006	0	0	1	20	20	2	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02022	重型盔甲(男)	items/11006	2	11006	0	0	1	20	20	3	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	5	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02023	重型盔甲(男)	items/11006	3	11006	0	0	1	20	20	4	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	7	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02024	重型盔甲(男)	items/11006	4	11006	0	0	1	20	20	5	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	9	0	0	0	0	1	9	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02025	重型盔甲(女)	items/11007	0	11007	1	0	1	20	20	1	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02026	重型盔甲(女)	items/11007	1	11007	1	0	1	20	20	2	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02027	重型盔甲(女)	items/11007	2	11007	1	0	1	20	20	3	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	5	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02028	重型盔甲(女)	items/11007	3	11007	1	0	1	20	20	4	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	7	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02029	重型盔甲(女)	items/11007	4	11007	1	0	1	20	20	5	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	9	0	0	0	0	1	9	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02030	魔法长袍(男)	items/13000	0	13000	0	0	2	20	20	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02031	魔法长袍(男)	items/13000	1	13000	0	0	2	20	20	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02032	魔法长袍(男)	items/13000	2	13000	0	0	2	20	20	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	26	0	0	0	0						
02033	魔法长袍(男)	items/13000	3	13000	0	0	2	20	20	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	7	0	0	0	2	0	6	0	0	0	0	0	0	0	0	26	0	0	0	0						
02034	魔法长袍(男)	items/13000	4	13000	0	0	2	20	20	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	9	0	0	0	2	1	8	0	0	0	0	0	0	0	0	26	0	0	0	0						
02035	魔法长袍(女)	items/13001	0	13001	1	0	2	20	20	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02036	魔法长袍(女)	items/13001	1	13001	1	0	2	20	20	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02037	魔法长袍(女)	items/13001	2	13001	1	0	2	20	20	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	26	0	0	0	0						
02038	魔法长袍(女)	items/13001	3	13001	1	0	2	20	20	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	7	0	0	0	2	0	6	0	0	0	0	0	0	0	0	26	0	0	0	0						
02039	魔法长袍(女)	items/13001	4	13001	1	0	2	20	20	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	9	0	0	0	2	1	8	0	0	0	0	0	0	0	0	26	0	0	0	0						
02040	灵魂道袍(男)	items/16000	0	16000	0	0	4	20	20	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02041	灵魂道袍(男)	items/16000	1	16000	0	0	4	20	20	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02042	灵魂道袍(男)	items/16000	2	16000	0	0	4	20	20	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	5	0	2	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02043	灵魂道袍(男)	items/16000	3	16000	0	0	4	20	20	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	7	0	3	0	3	0	0	0	0	0	0	0	0	26	0	0	0	0						
02044	灵魂道袍(男)	items/16000	4	16000	0	0	4	20	20	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	9	0	4	0	4	0	0	0	0	0	0	0	0	26	0	0	0	0						
02045	灵魂道袍(女)	items/16001	0	16001	1	0	4	20	20	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0						
02046	灵魂道袍(女)	items/16001	1	16001	1	0	4	20	20	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0						
02047	灵魂道袍(女)	items/16001	2	16001	1	0	4	20	20	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	5	0	2	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0						
02048	灵魂道袍(女)	items/16001	3	16001	1	0	4	20	20	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	7	0	3	0	3	0	0	0	0	0	0	0	0	26	0	0	0	0						
02049	灵魂道袍(女)	items/16001	4	16001	1	0	4	20	20	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	9	0	4	0	4	0	0	0	0	0	0	0	0	26	0	0	0	0						
02050	钢衬战甲(男)	items/11012	0	11012	0	0	1	40	40	1	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0						
02051	钢衬战甲(男)	items/11012	1	11012	0	0	1	40	40	2	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	4	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0						
02052	钢衬战甲(男)	items/11012	2	11012	0	0	1	40	40	3	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	7	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02053	钢衬战甲(男)	items/11012	3	11012	0	0	1	40	40	4	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	10	0	0	0	0	1	10	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02054	钢衬战甲(男)	items/11012	4	11012	0	0	1	40	40	5	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				3	13	0	0	0	0	1	13	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0						
02055	钢衬战甲(女)	items/11013	0	11013	1	0	1	40	40	1	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0						
02056	钢衬战甲(女)	items/11013	1	11013	1	0	1	40	40	2	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	4	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0						
02057	钢衬战甲(女)	items/11013	2	11013	1	0	1	40	40	3	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	7	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02058	钢衬战甲(女)	items/11013	3	11013	1	0	1	40	40	4	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	10	0	0	0	0	1	10	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02059	钢衬战甲(女)	items/11013	4	11013	1	0	1	40	40	5	0	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				3	13	0	0	0	0	1	13	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0						
02060	恶魔法袍(男)	items/13006	0	13006	0	0	2	40	40	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02061	恶魔法袍(男)	items/13006	1	13006	0	0	2	40	40	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0						
02062	恶魔法袍(男)	items/13006	2	13006	0	0	2	40	40	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	7	0	0	0	2	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0						
02063	恶魔法袍(男)	items/13006	3	13006	0	0	2	40	40	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	10	0	0	0	3	1	9	0	0	0	0	0	0	0	0	27	0	0	0	0						
02064	恶魔法袍(男)	items/13006	4	13006	0	0	2	40	40	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	3	13	0	0	0	4	1	12	0	0	0	0	0	0	0	0	27	0	0	0	0						
02065	恶魔法袍(女)	items/13007	0	13007	1	0	2	40	40	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02066	恶魔法袍(女)	items/13007	1	13007	1	0	2	40	40	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0						
02067	恶魔法袍(女)	items/13007	2	13007	1	0	2	40	40	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	7	0	0	0	2	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0						
02068	恶魔法袍(女)	items/13007	3	13007	1	0	2	40	40	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	10	0	0	0	3	1	9	0	0	0	0	0	0	0	0	27	0	0	0	0						
02069	恶魔法袍(女)	items/13007	4	13007	1	0	2	40	40	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	3	13	0	0	0	4	1	12	0	0	0	0	0	0	0	0	27	0	0	0	0						
02070	无极道袍(男)	items/16006	0	16006	0	0	4	40	40	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0						
02071	无极道袍(男)	items/16006	1	16006	0	0	4	40	40	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	4	0	2	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02072	无极道袍(男)	items/16006	2	16006	0	0	4	40	40	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	7	0	3	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0						
02073	无极道袍(男)	items/16006	3	16006	0	0	4	40	40	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	10	0	5	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0						
02074	无极道袍(男)	items/16006	4	16006	0	0	4	40	40	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	3	13	0	6	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0						
02075	无极道袍(女)	items/16007	0	16007	1	0	4	40	40	1	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0						
02076	无极道袍(女)	items/16007	1	16007	1	0	4	40	40	2	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	4	0	2	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0						
02077	无极道袍(女)	items/16007	2	16007	1	0	4	40	40	3	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	7	0	3	0	3	0	0	0	0	0	0	0	0	27	0	0	0	0						
02078	无极道袍(女)	items/16007	3	16007	1	0	4	40	40	4	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	10	0	5	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0						
02079	无极道袍(女)	items/16007	4	16007	1	0	4	40	40	5	0	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	3	13	0	6	0	6	0	0	0	0	0	0	0	0	27	0	0	0	0						
02080	百战战甲(男)	items/11014	0	11014	0	0	1	60	60	1	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0						
02081	百战战甲(男)	items/11014	1	11014	0	0	1	60	60	2	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	6	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	28	0	0	0	0						
02082	百战战甲(男)	items/11014	2	11014	0	0	1	60	60	3	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	10	0	0	0	0	1	10	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02083	百战战甲(男)	items/11014	3	11014	0	0	1	60	60	4	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				3	14	0	0	0	0	1	14	0	3	0	0	0	0	0	0	0	0	28	0	0	0	0						
02084	百战战甲(男)	items/11014	4	11014	0	0	1	60	60	5	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				4	18	0	0	0	0	2	18	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0						
02085	百战战甲(女)	items/11015	0	11015	1	0	1	60	60	1	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0						
02086	百战战甲(女)	items/11015	1	11015	1	0	1	60	60	2	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	6	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	28	0	0	0	0						
02087	百战战甲(女)	items/11015	2	11015	1	0	1	60	60	3	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				2	10	0	0	0	0	1	10	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02088	百战战甲(女)	items/11015	3	11015	1	0	1	60	60	4	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				3	14	0	0	0	0	1	14	0	3	0	0	0	0	0	0	0	0	28	0	0	0	0						
02089	百战战甲(女)	items/11015	4	11015	1	0	1	60	60	5	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				4	18	0	0	0	0	2	18	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0						
02090	苍羽法袍(男)	items/13008	0	13008	0	0	2	60	60	1	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02091	苍羽法袍(男)	items/13008	1	13008	0	0	2	60	60	2	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	6	0	0	0	1	0	5	0	0	0	0	0	0	0	0	28	0	0	0	0						
02092	苍羽法袍(男)	items/13008	2	13008	0	0	2	60	60	3	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	10	0	0	0	3	1	9	0	0	0	0	0	0	0	0	28	0	0	0	0						
02093	苍羽法袍(男)	items/13008	3	13008	0	0	2	60	60	4	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	3	14	0	0	0	4	1	12	0	0	0	0	0	0	0	0	28	0	0	0	0						
02094	苍羽法袍(男)	items/13008	4	13008	0	0	2	60	60	5	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	4	18	0	0	0	5	2	16	0	0	0	0	0	0	0	0	28	0	0	0	0						
02095	苍羽法袍(女)	items/13009	0	13009	1	0	2	60	60	1	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02096	苍羽法袍(女)	items/13009	1	13009	1	0	2	60	60	2	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	1	6	0	0	0	1	0	5	0	0	0	0	0	0	0	0	28	0	0	0	0						
02097	苍羽法袍(女)	items/13009	2	13009	1	0	2	60	60	3	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	2	10	0	0	0	3	1	9	0	0	0	0	0	0	0	0	28	0	0	0	0						
02098	苍羽法袍(女)	items/13009	3	13009	1	0	2	60	60	4	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	3	14	0	0	0	4	1	12	0	0	0	0	0	0	0	0	28	0	0	0	0						
02099	苍羽法袍(女)	items/13009	4	13009	1	0	2	60	60	5	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	4	18	0	0	0	5	2	16	0	0	0	0	0	0	0	0	28	0	0	0	0						
02100	伏魔道袍(男)	items/16008	0	16008	0	0	4	60	60	1	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	28	0	0	0	0						
02101	伏魔道袍(男)	items/16008	1	16008	0	0	4	60	60	2	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	6	0	3	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02102	伏魔道袍(男)	items/16008	2	16008	0	0	4	60	60	3	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	10	0	5	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0						
02103	伏魔道袍(男)	items/16008	3	16008	0	0	4	60	60	4	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	3	14	0	7	0	6	0	0	0	0	0	0	0	0	28	0	0	0	0						
02104	伏魔道袍(男)	items/16008	4	16008	0	0	4	60	60	5	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	4	18	1	9	1	8	0	0	0	0	0	0	0	0	28	0	0	0	0						
02105	伏魔道袍(女)	items/16009	0	16009	1	0	4	60	60	1	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	28	0	0	0	0						
02106	伏魔道袍(女)	items/16009	1	16009	1	0	4	60	60	2	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	1	6	0	3	0	2	0	0	0	0	0	0	0	0	28	0	0	0	0						
02107	伏魔道袍(女)	items/16009	2	16009	1	0	4	60	60	3	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	10	0	5	0	4	0	0	0	0	0	0	0	0	28	0	0	0	0						
02108	伏魔道袍(女)	items/16009	3	16009	1	0	4	60	60	4	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	3	14	0	7	0	6	0	0	0	0	0	0	0	0	28	0	0	0	0						
02109	伏魔道袍(女)	items/16009	4	16009	1	0	4	60	60	5	1	1	2	40000	30000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	4	18	1	9	1	8	0	0	0	0	0	0	0	0	28	0	0	0	0						
02110	仁者战甲(男)	items/11016	0	11016	0	0	1	70	70	1	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0						
02111	仁者战甲(男)	items/11016	1	11016	0	0	1	70	70	2	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				1	7	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	29	0	0	0	0						
02112	仁者战甲(男)	items/11016	2	11016	0	0	1	70	70	3	1	1	2	50000	30000	1	0	1	1	0	0	0	0	0	0				3	12	0	0	0	0	1	12	0	3	0	0	0	0	0	0	0	0	29	0	0	0	0						
